0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:19:58 +0530] "GET /EcommerceFrontend2/admin/productInventory/editProduct/131 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:19:58 +0530] "GET /EcommerceFrontend2/resource/css/admin.css HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:19:58 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:20:00 +0530] "GET /EcommerceFrontend2/admin/productInventory/editProduct/131 HTTP/1.1" 200 4921
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:20:00 +0530] "GET /EcommerceFrontend2/resource/css/admin.css HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:20:19 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:02 +0530] "POST /EcommerceFrontend2/admin/productInventory/editProduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:02 +0530] "GET /EcommerceFrontend2/admin/productInventory HTTP/1.1" 200 9789
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:02 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:02 +0530] "GET /EcommerceFrontend2/resource/images/333.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:02 +0530] "GET /EcommerceFrontend2/resource/images/335.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:02 +0530] "GET /EcommerceFrontend2/resource/images/334.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:02 +0530] "GET /EcommerceFrontend2/resource/images/331.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:02 +0530] "GET /EcommerceFrontend2/resource/images/332.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:02 +0530] "GET /EcommerceFrontend2/resource/images/130.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:02 +0530] "GET /EcommerceFrontend2/resource/images/131.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:13 +0530] "GET /EcommerceFrontend2/listProduct/viewProduct/?productId=131 HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:13 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:13 +0530] "GET /EcommerceFrontend2/resource/images/131.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:43 +0530] "GET /EcommerceFrontend2/admin/productInventory HTTP/1.1" 200 9789
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:43 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:43 +0530] "GET /EcommerceFrontend2/resource/images/333.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:43 +0530] "GET /EcommerceFrontend2/resource/images/335.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:43 +0530] "GET /EcommerceFrontend2/resource/images/334.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:43 +0530] "GET /EcommerceFrontend2/resource/images/331.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:43 +0530] "GET /EcommerceFrontend2/resource/images/332.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:43 +0530] "GET /EcommerceFrontend2/resource/images/130.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:43 +0530] "GET /EcommerceFrontend2/resource/images/131.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:45 +0530] "GET /EcommerceFrontend2/admin/productInventory HTTP/1.1" 200 9789
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:21:51 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:06 +0530] "GET /EcommerceFrontend2/resource/images/333.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:06 +0530] "GET /EcommerceFrontend2/resource/images/335.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:06 +0530] "GET /EcommerceFrontend2/resource/images/334.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:06 +0530] "GET /EcommerceFrontend2/resource/images/331.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:06 +0530] "GET /EcommerceFrontend2/resource/images/332.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:06 +0530] "GET /EcommerceFrontend2/resource/images/130.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:06 +0530] "GET /EcommerceFrontend2/resource/images/131.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:18 +0530] "GET /EcommerceFrontend2/listProduct HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:18 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:18 +0530] "GET /EcommerceFrontend2/resource/images/333.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:18 +0530] "GET /EcommerceFrontend2/resource/images/335.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:18 +0530] "GET /EcommerceFrontend2/resource/images/331.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:18 +0530] "GET /EcommerceFrontend2/resource/images/334.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:18 +0530] "GET /EcommerceFrontend2/resource/images/332.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:18 +0530] "GET /EcommerceFrontend2/resource/images/130.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:18 +0530] "GET /EcommerceFrontend2/resource/images/131.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:32 +0530] "GET /EcommerceFrontend2/listProduct/viewProduct/?productId=131 HTTP/1.1" 200 3157
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:32 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:32 +0530] "GET /EcommerceFrontend2/resource/images/131.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:38 +0530] "GET /EcommerceFrontend2/listProduct HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:38 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:38 +0530] "GET /EcommerceFrontend2/resource/images/333.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:38 +0530] "GET /EcommerceFrontend2/resource/images/335.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:38 +0530] "GET /EcommerceFrontend2/resource/images/334.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:38 +0530] "GET /EcommerceFrontend2/resource/images/331.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:38 +0530] "GET /EcommerceFrontend2/resource/images/332.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:38 +0530] "GET /EcommerceFrontend2/resource/images/130.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [21/Dec/2017:13:22:38 +0530] "GET /EcommerceFrontend2/resource/images/131.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:20:54 +0530] "GET /EcommerceFrontend2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:20:55 +0530] "GET /EcommerceFrontend2/ HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:20:55 +0530] "GET /EcommerceFrontend2/resource/images/logo.png HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:20:55 +0530] "GET /EcommerceFrontend2/resource/images/Rado.jpg HTTP/1.1" 200 165843
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:20:55 +0530] "GET /EcommerceFrontend2/resource/images/Timex.jpg HTTP/1.1" 200 247421
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:20:55 +0530] "GET /EcommerceFrontend2/resource/images/Rado2.jpg HTTP/1.1" 200 80999
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:20:55 +0530] "GET /EcommerceFrontend2/resource/images/men.jpg HTTP/1.1" 200 51650
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:20:55 +0530] "GET /EcommerceFrontend2/resource/images/women.jpg HTTP/1.1" 200 16389
0:0:0:0:0:0:0:1 - - [21/Dec/2017:14:20:55 +0530] "GET /EcommerceFrontend2/resource/images/kid.jpg HTTP/1.1" 200 43767
